,geoUID,r_external_5yr,r_inter_5yr,r_internal_5yr,r_intra_5yr,r_migrants_5yr,r_movers_5yr,r_nonMigrants_5yr,r_nonMovers_5yr
9259.000,24560184.000,0.000,0.000,1.000,1.000,0.295,0.518,2.462,0.482
9260.000,24560185.000,0.154,0.000,1.000,0.923,0.342,0.543,1.500,0.457
9261.000,24560186.000,0.187,0.167,0.750,0.917,0.271,0.590,1.303,0.400
9262.000,24560187.000,0.125,0.000,0.937,1.000,0.333,0.533,1.684,0.478
9263.000,24560188.000,0.000,0.000,1.000,1.062,0.327,0.612,1.882,0.387
9264.000,24560189.000,0.118,0.000,0.941,1.000,0.340,0.532,1.833,0.457
9265.000,24560190.000,0.000,0.154,1.000,0.846,0.371,0.515,1.222,0.485
9266.000,24560191.000,0.000,0.200,1.000,0.900,0.222,0.556,2.333,0.432
9267.000,24560192.000,0.000,0.000,1.111,0.900,0.209,0.448,3.091,0.552
9268.000,24560193.000,0.000,0.000,1.000,0.923,0.317,0.554,1.474,0.446
9269.000,24560194.000,0.250,0.000,0.833,1.000,0.226,0.535,2.412,0.455
9270.000,24560195.000,0.000,0.000,1.000,1.100,0.278,0.379,1.316,0.621
9271.000,24560196.000,0.250,0.000,0.750,1.000,0.408,0.434,2.071,0.566
9272.000,24560197.000,0.000,0.000,1.000,1.000,0.255,0.534,1.333,0.455
9273.000,24560198.000,0.000,0.400,1.000,0.800,0.227,0.286,6.000,0.701
9274.000,24560199.000,0.111,0.000,0.889,1.000,0.375,0.558,2.417,0.430
9275.000,24560200.000,0.000,0.200,1.000,0.800,0.246,0.530,1.586,0.470
9276.000,24560201.000,0.000,0.000,1.000,1.000,0.397,0.562,2.437,0.437
9277.000,24560202.000,0.000,0.143,1.000,0.929,0.219,0.593,1.429,0.407
9278.000,24560203.000,0.000,0.100,1.000,0.950,0.588,0.531,1.556,0.469
9279.000,24560204.000,0.000,0.118,1.000,0.941,0.309,0.478,3.455,0.522
9280.000,24560205.000,0.143,0.231,0.929,0.769,0.304,0.541,1.524,0.459
9281.000,24560206.000,0.000,0.000,1.000,1.000,0.323,0.326,2.333,0.674
9282.000,24560207.000,0.000,0.000,1.143,1.000,0.368,0.302,1.100,0.698
9283.000,24560208.000,0.000,0.077,1.040,0.923,0.490,0.347,1.625,0.653
9284.000,24560209.000,0.000,0.000,1.000,1.000,0.163,0.391,2.400,0.609
9285.000,24560210.000,0.000,0.000,1.000,1.143,0.250,0.308,4.200,0.692
9286.000,24560211.000,0.000,0.000,1.000,1.000,0.091,0.123,2.000,0.877
9287.000,24560212.000,0.000,0.000,1.000,1.000,0.095,0.368,1000000.000,0.632
9288.000,24560213.000,0.000,0.000,0.952,1.000,0.477,0.319,2.400,0.681
9289.000,24560214.000,0.000,0.000,1.000,1.000,0.444,0.324,1.667,0.676
9290.000,24560215.000,0.000,0.214,1.000,0.786,0.500,0.304,1.300,0.696
9291.000,24560216.000,0.000,0.667,0.857,0.500,0.292,0.231,1.545,0.779
9292.000,24560217.000,0.000,0.000,1.000,1.000,0.467,0.150,4.000,0.850
9293.000,24560218.000,0.000,0.155,1.000,0.862,0.552,0.407,1.621,0.589
9294.000,24560219.000,0.000,0.000,0.875,1.000,0.320,0.245,2.125,0.755
9295.000,24560220.000,0.000,0.000,1.000,1.000,0.500,0.263,1.300,0.737
9296.000,24560221.000,0.000,0.000,0.846,0.909,0.542,0.320,1.571,0.693
9297.000,24560222.000,0.000,0.000,1.000,1.000,0.400,0.069,0.750,0.917
9298.000,24560223.000,0.000,0.000,1.000,1.000,0.294,0.202,6.000,0.786
9299.000,24560224.000,0.000,0.000,1.000,0.900,0.625,0.172,3.000,0.817
9300.000,24560225.000,0.000,0.000,1.000,1.000,0.111,0.240,4.000,0.773
9301.000,24560226.000,0.118,0.000,0.941,1.000,0.354,0.485,1.455,0.515
9302.000,24560227.000,0.167,0.000,0.917,1.091,0.600,0.282,0.857,0.732
9303.000,24560228.000,0.000,0.000,1.000,0.800,0.385,0.232,400000.000,0.786
9304.000,24560229.000,0.000,0.100,0.952,0.950,0.488,0.350,2.444,0.659
9305.000,24560230.000,0.000,0.000,0.875,1.000,0.615,0.197,0.833,0.803
9306.000,24560231.000,0.000,0.000,1.143,0.875,0.437,0.180,1.333,0.820
9307.000,24560232.000,0.000,0.000,1.000,1.100,0.455,0.282,0.857,0.718
9308.000,24560233.000,0.143,0.273,0.786,0.818,0.350,0.435,1.588,0.554
9309.000,24560234.000,0.182,0.000,0.909,1.000,0.407,0.265,2.143,0.745
9310.000,24560235.000,0.000,0.000,0.929,1.000,0.412,0.298,6.667,0.711
9311.000,24560236.000,0.000,0.000,1.000,0.955,0.595,0.336,1.500,0.664
9312.000,24560237.000,0.286,0.000,1.000,1.000,0.304,0.271,2.500,0.729
9313.000,24560238.000,0.000,0.000,1.143,0.875,0.233,0.337,1.222,0.663
9314.000,24560239.000,0.000,0.000,1.000,1.000,0.500,0.364,1.750,0.649
9315.000,24560240.000,0.125,0.000,0.875,1.000,0.327,0.544,2.538,0.444
9316.000,24560241.000,0.000,0.333,1.125,0.556,0.211,0.442,2.000,0.558
9317.000,24560242.000,0.038,0.058,1.000,0.923,0.468,0.485,1.788,0.520
9318.000,24560243.000,0.000,0.000,1.000,1.250,0.154,0.377,3.667,0.623
9319.000,24560244.000,0.000,0.000,1.125,0.889,0.229,0.407,2.600,0.605
9320.000,24560245.000,0.000,0.222,1.000,0.889,0.391,0.253,1.625,0.758
9321.000,24560246.000,0.000,0.107,1.000,0.929,0.329,0.327,2.435,0.677
9322.000,24560247.000,0.000,0.000,1.143,1.000,0.467,0.217,1.333,0.783
9323.000,24560248.000,0.000,0.000,0.909,1.000,0.407,0.321,1.333,0.679
9324.000,24560249.000,0.000,0.000,1.000,1.000,0.455,0.208,3.000,0.792
9325.000,24560250.000,0.105,0.000,0.947,1.056,0.543,0.255,1.500,0.752
9326.000,24560251.000,0.133,0.000,0.933,1.071,0.536,0.255,1.857,0.755
9327.000,24560252.000,0.000,0.000,0.933,1.000,0.750,0.169,0.833,0.831
