"","X","geoUID","r_external_5yr","r_inter_5yr","r_internal_5yr","r_intra_5yr","r_migrants_5yr","r_movers_5yr","r_nonMigrants_5yr","r_nonMovers_5yr"
"27967",27967,35210889,0.8,1,0.2,0,0.312,0.4,1.833,0.6
"27968",27968,35210890,0.222,0,0.889,1,0.333,0.31,2.571,0.69
"27969",27969,35210891,0.526,0.444,0.474,0.667,0.514,0.319,0.944,0.672
"27970",27970,35210896,0.63,0,0.37,1,0.443,0.433,5,0.567
"27971",27971,35210897,0.562,0.333,0.375,0.833,0.696,0.217,0.667,0.774
"27972",27972,35210898,0.579,0,0.421,1,0.432,0.341,1.143,0.659
"27973",27973,35210899,0.619,0,0.381,0.875,0.396,0.51,3.556,0.5
"27974",27974,35210900,0.375,0.6,0.625,0.4,0.381,0.296,1.3,0.704
"27975",27975,35210901,0.562,0,0.375,1,0.333,0.329,3.556,0.671
"27976",27976,35210902,0.5,0,0.5,0.833,0.3,0.339,2.455,0.661
"27977",27977,35210903,0.5,0,1,1,0.286,0.25,2.25,0.75
"27978",27978,35210905,0.389,0,0.611,1,0.429,0.326,4,0.674
"27979",27979,35210906,0.667,0,0.5,0.667,0.261,0.274,3.4,0.726
"27980",27980,35210908,0.818,0,0.273,0.667,0.367,0.244,2.5,0.764
"27981",27981,35210910,0.333,0.6,0.833,0.4,0.353,0.227,1.833,0.773
"27982",27982,35210911,0.722,0,0.222,0.75,0.514,0.219,1.385,0.781
"27983",27983,35210912,0.375,0,0.625,1,0.421,0.133,3.667,0.867
"27984",27984,35210913,0.652,0.25,0.348,0.625,0.622,0.216,0.789,0.778
"27985",27985,35210914,0.483,0.2,0.517,0.8,0.315,0.434,2.138,0.571
"27986",27986,35210922,0.65,0,0.35,1.143,0.488,0.266,2.2,0.727
"27987",27987,35210923,0.84,0,0.16,1,0.568,0.336,1.187,0.664
"27988",27988,35210926,0.267,0,0.6,1,0.517,0.23,2.143,0.762
"27989",27989,35210927,1e+05,0,0,0,0,0.215,7,0.785
"27990",27990,35210928,0.5,0,0.5,1,0.4,0.246,1.333,0.754
"27991",27991,35210929,0.375,0,0.625,1,0.348,0.511,2.5,0.489
"27992",27992,35210930,0,0.25,0.889,0.875,0.265,0.548,2.083,0.452
"27993",27993,35210931,0.75,0,0.5,1,0.19,0.259,5.333,0.753
"27994",27994,35210932,0,0,0,0,0,0.095,1.5,0.881
"27995",27995,35210933,0.333,0.385,0.722,0.615,0.643,0.283,1.667,0.717
"27996",27996,35210934,0.286,0,0.714,1,0.437,0.151,1,0.849
"27997",27997,35210935,0.267,0,0.733,1,0.882,0.236,0.222,0.764
"27998",27998,35210936,0.75,0,0.25,0,0.242,0.25,8.333,0.742
"27999",27999,35210937,1,0,0,0,0.286,0.073,2.5,0.917
"28000",28000,35210938,0.143,0.333,0.857,0.667,0.378,0.223,2.75,0.783
"28001",28001,35210939,0.304,0,0.696,0.937,0.535,0.326,4,0.674
"28002",28002,35210940,0,0,1.333,0.75,0.273,0.25,3.5,0.75
"28003",28003,35210941,0,0,1,1.1,0.37,0.466,9,0.534
"28004",28004,35210942,0.714,0,0.286,1,0.212,0.327,2.5,0.673
"28005",28005,35210943,0,0,1,1,0.133,0.395,3.5,0.579
"28006",28006,35210944,0.467,0,0.533,1.125,0.254,0.267,1.76,0.729
"28007",28007,35210945,0.455,0,0.545,1,0.595,0.255,0.682,0.738
"28008",28008,35210946,0.235,0,0.706,0.917,0.34,0.198,3.4,0.802
"28009",28009,35210947,0.261,0.118,0.739,0.882,0.489,0.382,1.5,0.61
"28010",28010,35210948,0.25,0,0.875,1,0.195,0.488,2.357,0.512
